Courses,Programmes,Durations,NOS,EMGS,MISC,TTF,Intakes,description,remarks,discount,uid
Foundation In Engineering,Foundation,1 year,3,3420,5505,19800,March/June/October,,Melaka&Cyberjaya,,22
Foundation In Information Technology,Foundation,1 year,3,3420,5505,18975,March/June/October,,Melaka&Cyberjaya,,22
Foundation In English,Foundation,1 year,3,3420,5505,14375,March/June/October,,Cyberjaya,,22
Foundation In Life Science,Foundation,1 year,3,3420,5505,19800,March/June/October,,Melaka,,22
Foundation In Management,Diploma,1 year,3,3420,5505,18975,March/June/October,,Melaka&Cyberjaya,,22
Foundation In Business,Foundation,1 year,3,3420,5505,18975,March/June/October,,Melaka&Cyberjaya,,22
Foundation In Creative Multimedia,Foundation,1 year,3,3420,5505,16500,March/June/October,,Cyberjaya,,22
Diploma In Electronic Engineering,Diploma,2.3 year,9,3420,5505,24000,March/June/October,,Melaka,,22
Diploma In Telecommunication Engineering,Diploma,2.3 year,9,3420,5505,24000,March/June/October,,Melaka,,22
Diploma In Information Technology,Diploma,2.3 year,9,3420,5505,21334,March/June/October,,Melaka&Cyberjaya,,22
Diploma In Business Information System,Diploma,2.3 year,9,3420,5505,20000,March/June/October,,Melaka,,22
Diploma In Business Administration,Diploma,2.3 year,9,3420,5505,20000,March/June/October,,Melaka,,22
Diploma In Accounting,Diploma,2.3 year,9,3420,5505,24000,March/June/October,,Melaka,,22
Bachelor Of Engineering(Hons.) Electrical,Bachelor,4 year,12,3420,5505,90000,March/June/October,,Cyberjaya,,22
Bachelor Of Engineering (Hons.) Electronics,Bachelor,4 year,12,3420,5505,90000,March/June/October,,Cyberjaya,,22
Bachelor Of Engineering (Hons.)Electronics majoring in Computer,Bachelor,4 year,12,3420,5505,90000,March/June/October,,Cyberjaya,,22
Bachelor Of Eng(Hons.)Electronics Majoring In Optical Eng.,Bachelor,4 year,12,3420,5505,90000,March/June/October,,Cyberjaya,,22
Bachelor Of Eng(Hons.)Electronics In Nanotechnology,Bachelor,4 year,12,3420,5505,90000,March/June/October,,Cyberjaya,,22
Bachelor Of Eng(Hons.)Majoring In Telecommunications,Bachelor,4 year,12,3420,5505,90000,March/June/October,,Melaka,,22
Bachelor Of Eng(Hons.)Electronics majoring In Robotics & Automation,Bachelor,4 year,12,3420,5505,90000,March/June/October,,Melaka,,22
Bachelor Of Engineering (Hons.) Mechanical,Bachelor,4 year,12,3420,5505,90000,March/June/October,,Melaka,,22
Bachelor Of Computer Science(Hons.),Bachelor,3 year,9,3420,5505,73800,March/June/October,"With Specializations in Software Eng,Information System,Game Development,Data Science",Cyberjaya,,22
Bachelor Of Information Tech(Hons.) Data Communication & Networking,Bachelor,3 year,9,3420,5505,75600,March/June/October,,Melaka,,22
Bachelor Of Information Tech(Hons.) Security Technology,Bachelor,3 year,9,3420,5505,75600,March/June/October,,Melaka,,22
Bachelor Of Information Tech(Hons.) Information Technology,Bachelor,3 year,9,3420,5505,75600,March/June/October,,Melaka,,22
Bachelor Of Information Tech(Hons.) Artificial Intelligence,Bachelor,3 year,9,3420,5505,70200,March/June/October,,Melaka,,22
Bachelor Of Communication( Strategic Communicaions),Bachelor,3 year,9,3420,5505,62499,March/June/October,,Cyberjaya,,22
Bachelor Of science(Hons.) BioInformatics,Bachelor,3 year,9,3420,5505,70200,March/June/October,,Melaka,,22
Bachelor Of Business Administration (hons.) Mgt with Multimedia,Bachelor,3 year,9,3420,5505,64800,March/June/October,,Cyberjaya,,22
Bachelor Of Admin(Hons.) Marketing with multimedia,Bachelor,3 year,9,3420,5505,21600,March/June/October,,Cyberjaya,,22
Bachelor Of Finance(Hons.),Bachelor,3 year,9,3420,5505,64800,March/June/October,,Cyberjaya,,22
Bachelor Of Analytical Economics(Hons.),Bachelor,3 year,9,3420,5505,64800,March/June/October,,Cyberjaya,,22
Bachelor Of Financial Engineering (Hons.),Bachelor,3 year,9,3420,5505,70200,March/June/October,,Cyberjaya,,22
Bachelor Of Accounting(Hons.),Bachelor,4 year,12,3420,5505,82800,March/June/October,,Melaka&Cyberjaya,,22
Bachelor Of Business Adm(Hons.) HRM,Bachelor,3 year,9,3420,5505,64800,March/June/October,,Melaka,,22
Bachelor Of Business Adm(Hons.) Marketing Mgt,Bachelor,3 year,9,3420,5505,64800,March/June/October,,Melaka,,22
Bachelor Of Business Adm(Hons.) International Business,Bachelor,3 year,9,3420,5505,64800,March/June/October,,Melaka,,22
Bachelor of Business & knowledge mgt (Hons.),Bachelor,3 year,9,3420,5505,64800,March/June/October,,Melaka,,22
Bachelor Of Business Administration Banking & Finance,Bachelor,3 year,9,3420,5505,64800,March/June/October,,Melaka,,22
Bachelor Of Multimedia (Hons) Media Arts,Bachelor,3 year,9,3420,5505,70200,March/June/October,,Cyberjaya,,22
Bachelor of Multimedia (Hons) Virtual Reality,Bachelor,3 year,9,3420,5505,70200,March/June/October,,Cyberjaya,,22
Bachelor Of Multimedia (Hons) Interface Design,Bachelor,3 year,9,3420,5505,70200,March/June/October,,Cyberjaya,,22
Bachelor Of Multimedia (Hons) Advertising Design,Bachelor,3 year,9,3420,5505,70200,March/June/October,,Cyberjaya,,22
Bachelor Of Multimedia (Hons) Animation & Visual Effects,Bachelor,3 year,9,3420,5505,70200,March/June/October,,Cyberjaya,,22
Masters Of Philosophy(Management),Research,1-3 year,,3420,6050,3750,Anytime,,Cyberjaya&Melaka,,22
Masters Of Engineering Science,Research,1-3 year,,3420,6050,3750,Anytime,,Cyberjaya&Melaka,,22
Masters Of Science(Information Technology),Research,1-3 year,,3420,6050,3750,Anytime,,Cyberjaya&Melaka,,22
Masters Of Science(Creative Multimedia),Research,1-3 year,,3420,6050,3750,Anytime,,Cyberjaya,,22
Masters Of Eng (Telecommunications),Coursework,1-3 year,,3420,6050,36250,Apr/May/Sept/Nov,,Cyberjaya,,22
Masters Of Electrical & Electronics Engineering,Coursework,1-3 year,,3420,6050,37050,Apr/May/Sept/Nov,,Cyberjaya,,22
Masters Of Engineering In Embedded System,Coursework,1-3 year,,3420,6050,30400,Apr/May/Sept/Nov,,Melaka,,22
Masters Of Engineering In Advanced Mfg Management ,Coursework,1-3 year,,3420,6700,28900,Apr/May/Sept/Nov,,Melaka,,22
Masters of Scince In Eng Business Mgt,Coursework,1-3 year,,3420,6050,27800,Apr/May/Sept/Nov,,Cyberjaya,,22
Masters Of Business Adm (MBA),Coursework,1-3 year,,3420,6050,33750,Apr/May/Sept/Nov,,Cyberjaya&Melaka,,22
Masters Of Knowledge Mgt with Multimedia ,Coursework,1-3 year,,3420,6050,27500,Jan/Apr/ August,,Cyberjaya,,22
Masters Of Multimedia(E learning Technologies),Coursework,1-3 year,,3420,6050,27500,Jan/Apr/ August,,Cyberjaya,,22
Executive Masters Of Business Administration,Coursework,1-2year,,3420,6050,24000,Jan/Apr/ August,,Cyberjaya,,22
Masters Of Computer Science,Coursework,1-3 year,,3420,6050,27500,Jan/Apr/ August,In Software Engineering & Software Architechture,Cyberjaya,,22
Doctor Of Philosophy (Engineering),Phd,2-5 year,,3420,6050,3750,Anytime,,Cyberjaya&Melaka,,22
Doctor Of Philosophy (Information technology),Phd,2-5 year,,3420,6050,3750,Anytime,,Cyberjaya&Melaka,,22
Doctor Of Philosophy ( Management),Phd,2-5 year,,3420,6050,3750,Anytime,,Cyberjaya&Melaka,,22
Doctor Of Philosophy (Creative Multimedia),Phd,2-5 year,,3420,6050,3750,Anytime,,Cyberjaya,,22
Doctor Of Business Administration (D.B.A),Phd,3-5 year,,3420,6050,52200,Anytime,,Cyberjaya,,22
