id,Name
2,AIMST University
3,Asia Pacific University of Technology and Innovation
4,Bricksfield Asia College
5,Berjaya University College of Hospitality
6,Binary University College of Management and Entrepreneurship
7,Curtin University of Technology
8,Cyberjaya University College of Medical Sciences
9,HELP University
10,International Centre for Education in Islamic Finance
11,International Medical University
12,International University College Of Technology Twintech
13,INTI University
14,Insaniah University College
15,Industrial University of Selangor
16,KBU University College
17,KDU University College
18,Kuala Lumpur Metropolitan University
19,Infrastructure University Kuala Lumpur
20,Limkokwing University of Creative Technology
21,Mantissa College
22,Multimedia University
23,Melaka Manipal Medical College
24,Malaysia Theological Seminary
25,Malaysia University of Science and Technology
26,Management and Science University
27,Monash University
28,Nilai University
29,Open University Malaysia
30,Penang Medical College
31,Petronas University of Technology
32,Putra Intelek International College
33,Swinburne University of Technology
34,Selangor International Islamic University College
35,Sunway University
36,SEGI University
37,Taylor's University
38,Tun Abdul Razak University
39,TATI University College
40,Tunku Abdul Rahman University
41,Twintech University College of Technology
42,UCSI University
43,University of Kuala Lumpur
44,University of Nottingham
45,Wawasan Open University
