course,program,duration,EMGS,ttf,uid
Foundation in Science,Foundation,1 Year,2890,10400,2
Foundation in Engineering,Foundation,1 Year,2890,10400,2
Foundation in Business,Foundation,1 Year,2890,8550,2
Diploma in Physiotherapy,Diploma,3 Years,2890,53450,2
Diploma in Electrical & Electronics Engineering,Diploma,2.5 Years,2890,23425,2
Diploma in Computer Engineering,Diploma,2.5 Years,2890,37100,2
Diploma in Nursing,Diploma,3 Years,2890,47750,2
Bachelor of Physiotherapy,Undergraduate,4 Years,2890,81600,2
Bachelor of Science (Hons) in Biotechnology,Undergraduate,3 Years,2890,41500,2
Bachelor of Science (Hons) in Business & Marketing,Undergraduate,3.5 Years,2890,43250,2
Bachelor of Science (Hons) in Finance & Management,Undergraduate,3.5 Years,2890,43250,2
Bachelor of Science (Hons) in Management Information Systems,Undergraduate,3.5 Years,2890,43250,2
Bachelor of Engineering (Hons) in Electrical & Electronics Engineering,Undergraduate,4 Years,2890,60400,2
Bachelor of Science (Hons) in Accounting & Finance,Undergraduate,3.5 Years,2890,71700,2
Bachelor of Pharmacy (Hons),Undergraduate,4 Years,2890,139000,2
Bachelor of Dental Surgery (BDS),Undergraduate,5 Years,2890,364050,2
Bachelor of Medicine & Bachelor of Surgery (MBBS),Undergraduate,5 Years,2890,364150,2
Bachelor of Dental Technology (BDT),Undergraduate,4 Years,2890,183780,2
Bachelor of Nursing*,Undergraduate,4 Years,2890,89000,2
MSc in Medical Biochemistry,Masters,1 Year,2890,8050,2
MSc in Medical Microbiology,Masters,1 Year,2890,8750,2
MSc in Human Anatomy,Masters,2 Years,2890,16800,2
MSc in Medical Physiology,Masters,2 Years,2890,16000,2
Master of Pharmacy (Clinical Pharmacy),Masters,1 Year,2890,18100,2
MSc in Management,Masters,1.5 Years,2890,22200,2
Msc in Pharmacy,Masters,1 Year,2890,19700,2
MBA (General),Masters,2 Years,2890,27500,2
MSc Biotechnology,Masters,1 Year,2890,8750,2
"MSc in Mobile, Wireless & Satelite Communications",Masters,1 Year,2890,16100,2
PhD in Biotechnology,PhD,2 Years,2890,16400,2
PhD in Pharmacy,PhD,2 Years,2890,38700,2
PhD in Management,PhD,3 Years,2890,48400,2
