course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Business,Foundation,1 year,3,2799,5940,15000,January to October,,,50%,,,668
Foundation in Science,Foundation,1 year,3,2799,5940,15000,January to October,,,50%,,,669
Diploma in Accounting,Diploma,2.4 years,6,2799,5940,28800,January to October,,,50%,,,670
Diploma in Business Administration,Diploma,2.4 years,6,2799,5940,28800,January to October,,,50%,,,671
Diploma in Culinary Arts,Diploma,2.4 years,6,2799,5940,37800,January to October,,,50%,,,672
Diploma in Hotel Management,Diploma,2.4 years,6,2799,5940,37800,January to October,,,50%,,,673
Diploma in Business Information Technology,Diploma,2.4 years,6,2799,5940,31500,January to October,,,50%,,,674
Diploma in Computer Science,Diploma,2.4 years,6,2799,5940,31500,January to October,,,50%,,,675
Diploma in Biotechnology ,Diploma,2.4 years,6,2799,5940,34200,January to October,,,50%,,,676
Diploma in Electrical & Electronic Engineering,Diploma,2.4 years,6,2799,5940,33750,January to October,,,50%,,,677
Diploma in Nursing ,Bachelor,2.4 years,6,2799,5940,45675,January to October,,,50%,,,678
Diploma in Aircraft Maintenance Engineering,Bachelor,2.4 years,6,2799,5940,48530,January to October,,,50%,,,679
Diploma in Machanical Engineering,Bachelor,2.4 years,6,2799,5940,33750,January to October,,,50%,,,680
Diploma in Mechatronic Engineering,Bachelor,2.4 years,6,2799,5940,33750,January to October,,,50%,,,681
Advanced Diploma in Aircraft Engineering Technology,Bachelor,1 year,6,2799,5940,27880,January to October,,,50%,,,682
B.A(Hons)in Accounting and Finance,Bachelor,3 year,6,2799,5940,56700,January to October,,,50%,,,683
B.B.A.(Hons),Bachelor,3 year,6,2799,5940,54000,January to October,,,50%,,,684
B.B.A.(Hons) Finance,Bachelor,3 year,6,2799,5940,54000,January to October,,,50%,,,685
B.B.A.(Hons)Human Resource Management,Bachelor,3 year,6,2799,5940,54000,January to October,,,50%,,,686
B.B.A.(Hons)Internatoinal Business,Bachelor,3 year,6,2799,5940,54000,January to October,,,50%,,,687
B.B.A.(Hons)Management,Bachelor,3 year,6,2799,5940,54000,January to October,"Specialization in: Information System Security, Database Administration, Cloud Computing, Network Computing, Mobile Technology, Business Information System",,50%,,,688
B.B.A.(Hons)Marketing,Bachelor,3 year,6,2799,5940,54000,January to October,,,50%,,,689
B.A.(Hons) in Business and Hospitality Management,Bachelor,3 year,6,2799,5940,56400,January to October,,,50%,,,690
Bachelor of Computer Science(Hons) Software Engineering ,Bachelor,3 year,6,2799,5940,54000,January to October,,,50%,,,691
Bachelor of Information Technology (Hons),Bachelor,3 year,6,2799,5940,54000,January to October,,,50%,,,692
Bachelor of IT (Hons) Internet Engineering and Clouds Computing,Bachelor,3 year,6,2799,5940,54000,January to October,,,50%,,,693
Bachelor of Science (Hons)Biotechnology,Bachelor,3 year,6,2799,5940,57000,January to October,,,50%,,,694
Bachelor of Science (Hons) in Nursing,Bachelor,4 year,6,2799,5940,72760,January to October,,,50%,,,695
Bachelor of Electrical and Electronics Engineering (Hons),Bachelor,4 year,6,2799,5940,63440,January to October,,,50%,,,696
Bachelor of Mechanical Engineering (Hons),Bachelor,4 year,6,2799,5940,71240,January to October,,,50%,,,697
Intensive English Programme (3 levels),Bachelor,2 ysear,6,2799,5940,9600,January to October,"Specialization in: Forensic Accounting, Forex And Investments, Texation, Internal Audit",,50%,,,698
MBA(Marketing),Masters,1 or 2 ysear,6,2799,5940,25200,January to October,"Financial Planning, Investment and Risk Management",,50%,,,699
MBA(Management),Masters,1 or 2 ysear,6,2799,5940,25200,January to October,,,50%,,,700
MBA(Banking and Finance),Masters,1 or 2 ysear,6,2799,5940,25200,January to October,,,50%,,,701
MBA(Human Resource Management),Masters,1 or 2 ysear,6,2799,5940,25200,January to October,,,50%,,,702
Masters of Engineering Science (By research),Masters,2-3 years,8,2799,5940,19200,January to October,,,50%,,,703
Masters of Applied Science(By research),Masters,2-3 years,8,2799,5940,30000,January to October,,,50%,,,704
PhD in Business Administration,PhD,3-5 years,8,2799,5940,36000,January to October,,,50%,,,705
PHD in Applied Science,PhD,3-5 years,8,2799,5940,38400,January to October,,,,,,706
PHD in Engineering,PhD,3-5 years,,2799,5940,38400,January to October,,,,,,707
